,NVDA,AMD,QCOM,NBIS,ORCL,AVGO,TSM,CRWD,SMCI,TSLA,JOBY,RKLB,ASTS,BA,LUNR,LMT,SERV,ISRG,IREN,CORZ,IBIT,COIN,CLSK,HUT,MSTR,IONQ,RGTI,IBM,GOOG,HON,INTC,MSFT,AMZN,NTLA,CRSP,VRTX,SRPT,DNA,RXRX,JAZZ,SOFI,XYZ,PYPL,HOOD,BULL,BLK,SPY
,NVDA,AMD,QCOM,NBIS,ORCL,AVGO,TSM,CRWD,SMCI,TSLA,JOBY,RKLB,ASTS,BA,LUNR,LMT,SERV,ISRG,IREN,CORZ,IBIT,COIN,CLSK,HUT,MSTR,IONQ,RGTI,IBM,GOOG,HON,INTC,MSFT,AMZN,NTLA,CRSP,VRTX,SRPT,DNA,RXRX,JAZZ,SOFI,XYZ,PYPL,HOOD,BULL,BLK,SPY
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-27 05:00:00,0.7847,2.33,48.54,20.0,39.18,13.004,22.45,58.0,2.444,15.4407,13.4,10.43,11.81,146.95,10.03,225.91,37.73,57.6933,24.45,8.8,24.1722,328.28,5.2166,21.45,17.556,9.2,9.43,132.3709,37.513,104.06,34.46,53.93,33.663,22.1,14.09,133.06,37.4,487.2,31.3,149.42,22.65,89.5,35.18,34.82,13.25,358.39,209.56
2015-11-30 05:00:00,0.793,2.36,48.79,20.0,38.97,13.045,22.76,58.0,2.456,15.3507,13.4,10.43,11.81,145.45,10.03,219.16,37.48,57.78,24.45,8.8,24.1722,328.28,5.2166,21.45,17.337,9.2,9.43,133.2887,37.13,103.95,34.77,54.35,33.24,22.1,14.09,129.36,36.76,487.2,31.3,146.59,22.65,89.5,35.26,34.82,13.25,363.72,208.69
2015-12-01 05:00:00,0.8188,2.34,49.3,20.0,39.23,13.289,23.28,58.0,2.616,15.8127,13.4,10.43,11.81,147.74,10.03,220.2,38.35,58.0278,24.45,8.8,24.1722,328.28,5.2166,21.45,17.719,9.2,9.43,135.0669,38.352,104.15,35.09,55.22,33.953,22.1,14.09,130.36,36.92,487.2,31.3,148.72,22.65,89.5,35.17,34.82,13.25,361.73,210.68
2015-12-02 05:00:00,0.8125,2.27,51.85,20.0,38.7,13.221,23.19,58.0,2.656,15.466,13.4,10.43,11.81,146.96,10.03,218.94,38.08,57.5067,24.45,8.8,24.1722,328.28,5.2166,21.45,17.619,9.2,9.43,133.5564,38.119,103.1,34.83,55.21,33.8005,22.1,14.09,130.41,37.19,487.2,31.3,145.6,22.65,89.5,35.15,34.82,13.25,358.92,208.529
2015-12-03 05:00:00,0.8108,2.23,51.4,20.0,37.81,14.478,22.93,58.0,2.64,15.514,13.4,10.43,11.81,145.56,10.03,215.46,38.04,56.5178,24.45,8.8,24.1722,328.28,5.2166,21.45,17.358,9.2,9.43,132.8107,37.627,102.4,34.04,54.2,33.3125,22.1,14.09,122.06,36.28,487.2,31.3,142.18,22.65,89.5,34.23,34.82,13.25,352.0,205.61
2015-12-04 05:00:00,0.8438,2.28,52.34,20.0,39.16,14.756,23.31,58.0,2.654,15.3587,13.4,10.43,11.81,148.5,10.03,218.39,39.0,57.9333,24.45,8.8,24.1722,328.28,5.2166,21.45,17.684,9.2,9.43,134.2543,38.3405,104.55,34.935,55.91,33.632,22.1,14.09,125.17,37.05,487.2,31.3,145.18,22.65,89.5,35.62,34.82,13.25,360.76,209.62
2015-12-07 05:00:00,0.8278,2.355,52.43,20.0,38.82,14.883,23.24,58.0,2.489,15.4087,13.4,10.43,11.81,148.45,10.03,219.13,38.94,58.0578,24.45,8.8,24.1722,328.28,5.2166,21.45,17.373,9.2,9.43,133.413,38.1625,104.18,34.985,55.81,33.4915,22.1,14.09,121.79,35.71,487.2,31.3,142.8,22.65,89.5,35.16,34.82,13.25,355.47,208.35
2015-12-08 05:00:00,0.839,2.39,49.48,20.0,38.73,14.778,23.08,58.0,2.525,15.1147,13.4,10.43,11.81,144.99,10.03,218.81,39.19,57.0156,24.45,8.8,24.1722,328.28,5.2166,21.45,17.549,9.2,9.43,131.979,38.1185,102.66,34.75,55.79,33.8665,22.1,14.09,123.29,36.8,487.2,31.3,141.79,22.65,89.5,35.6,34.82,13.25,348.94,206.949
2015-12-09 05:00:00,0.8178,2.35,48.59,20.0,38.58,14.565,22.73,58.0,2.394,14.968,13.4,10.43,11.81,144.24,10.03,217.54,38.24,57.0722,24.45,8.8,24.1722,328.28,5.2166,21.45,17.253,9.2,9.43,130.6023,37.5805,101.89,34.81,54.98,33.2395,22.1,14.09,120.63,36.41,487.2,31.3,138.43,22.65,89.5,35.07,34.82,13.25,344.57,205.34
2015-12-10 05:00:00,0.8245,2.45,48.57,20.0,38.19,14.733,22.65,58.0,2.482,15.138,13.4,10.43,11.81,146.41,10.03,218.88,38.57,58.4489,24.45,8.8,24.1722,328.28,5.2166,21.45,17.275,9.2,9.43,130.7648,37.473,101.76,34.77,55.27,33.116,22.1,14.09,121.87,37.02,487.2,31.3,140.36,22.65,89.5,35.49,34.82,13.25,345.25,205.87
2015-12-11 05:00:00,0.8123,2.36,47.46,20.0,37.21,14.442,22.18,58.0,2.419,14.468,13.4,10.43,11.81,144.62,10.03,217.2,37.6,58.1633,24.45,8.8,24.1722,328.28,5.2166,21.45,17.414,9.2,9.43,128.652,36.9435,98.23,34.27,54.06,32.0075,22.1,14.09,117.64,35.26,487.2,31.3,134.26,22.65,89.5,34.69,34.82,13.25,322.78,201.88
2015-12-14 05:00:00,0.8143,2.34,46.83,20.0,37.65,14.251,22.22,58.0,2.275,14.572,13.4,10.43,11.81,143.0,10.03,216.58,37.55,58.75,24.45,8.8,24.1722,328.28,5.2166,21.45,17.525,9.2,9.43,129.9522,37.3885,98.98,34.47,55.14,32.8955,22.1,14.09,115.7,34.99,487.2,31.3,135.21,22.65,89.5,35.01,34.82,13.25,319.6,202.9008
2015-12-15 05:00:00,0.8243,2.36,48.02,20.0,38.21,14.327,22.82,58.0,2.286,14.7393,13.4,10.43,11.81,146.53,10.03,214.84,37.86,59.6733,24.45,8.8,24.1722,328.28,5.2166,21.45,17.893,9.2,9.43,131.7304,37.17,98.47,35.18,55.2,32.932,22.1,14.09,117.28,36.57,487.2,31.3,138.47,22.65,89.5,36.32,34.82,13.25,329.54,205.0308
2015-12-16 05:00:00,0.8293,2.54,48.07,20.0,38.91,14.388,23.16,58.0,2.323,15.634,13.4,10.43,11.81,148.11,10.03,217.5,38.77,60.57,24.45,8.8,24.1722,328.28,5.2166,21.45,17.712,9.2,9.43,133.1644,37.9045,104.08,35.3,56.13,33.7885,22.1,14.09,118.53,37.2,487.2,31.3,142.38,22.65,89.5,35.98,34.82,13.25,331.0,208.03
2015-12-17 05:00:00,0.8168,2.56,47.54,20.0,36.93,14.048,22.96,58.0,2.284,15.5593,13.4,10.43,11.81,145.56,10.03,215.22,38.27,59.8967,24.45,8.8,24.1722,328.28,5.2166,21.45,17.351,9.2,9.43,130.7361,37.4715,102.31,34.91,55.7,33.5325,22.1,14.09,117.94,35.83,487.2,31.3,138.89,22.65,89.5,35.54,34.82,13.25,330.21,204.86
2015-12-18 05:00:00,0.8035,2.45,47.43,20.0,36.35,14.02,22.93,58.0,2.232,15.364,13.4,10.43,11.81,139.58,10.03,212.18,37.61,59.3533,24.45,8.8,24.1722,328.28,5.2166,21.45,17.574,9.2,9.43,128.9675,36.9655,101.83,33.865,54.13,33.207,22.1,14.09,116.51,37.54,487.2,31.3,139.96,22.65,89.5,34.98,34.82,13.25,321.47,200.0208
